Order_Date,Category,Region,Segment,Quantity,Discount,Sales,Profit
2024-01-01 00:00:00.000000000,Office Supplies,East,Consumer,8,0.22,642.8189462446693,122.65448022257141
2024-01-01 08:46:07.567567567,Electronics,East,Home Office,5,0.07,2402.9126714901727,297.6111762882186
2024-01-01 17:32:15.135135135,Office Supplies,East,Corporate,3,0.19,210.4582498240832,32.64835775115469
2024-01-02 02:18:22.702702702,Office Supplies,East,Consumer,7,0.17,503.5766128193176,89.80416116600566
2024-01-02 11:04:30.270270270,Electronics,West,Home Office,7,0.17,2878.431032745871,324.5248688712797
2024-01-02 19:50:37.837837837,Electronics,North,Corporate,1,0.2,435.2639898391283,41.96463663234423
2024-01-03 04:36:45.405405405,Office Supplies,West,Home Office,9,0.16,738.8599998071165,140.75924576394053
2024-01-03 13:22:52.972972972,Furniture,West,Corporate,2,0.26,411.18127628347645,52.36454517737367
2024-01-03 22:09:00.540540540,Office Supplies,East,Home Office,5,0.2,400.7661966023144,49.930692161327435
2024-01-04 06:55:08.108108108,Office Supplies,South,Corporate,5,0.16,429.1880298867142,32.94550944196039
2024-01-04 15:41:15.675675675,Office Supplies,South,Consumer,8,0.25,544.4643943691323,36.05620289460672
2024-01-05 00:27:23.243243243,Office Supplies,West,Corporate,8,0.18,647.3086521225271,114.13089132072619
2024-01-05 09:13:30.810810810,Electronics,West,Home Office,7,0.09,3165.1092954431065,449.8252584608223
2024-01-05 17:59:38.378378378,Office Supplies,East,Home Office,7,0.06,632.3638260300767,62.524143386283356
2024-01-06 02:45:45.945945945,Furniture,West,Corporate,6,0.05,1669.318533224342,131.4762498382026
2024-01-06 11:31:53.513513513,Electronics,East,Consumer,6,0.27,2227.650314191792,297.0005693149744
2024-01-06 20:18:01.081081081,Furniture,South,Consumer,9,0.21,2107.224522848079,289.92858299666676
2024-01-07 05:04:08.648648648,Furniture,South,Corporate,6,0.28,1216.2021885674685,98.57202005642868
2024-01-07 13:50:16.216216216,Furniture,North,Corporate,2,0.18,502.5719128790174,89.31248794705216
2024-01-07 22:36:23.783783783,Furniture,South,Home Office,2,0.14,545.0079789069274,34.139111729217426
2024-01-08 07:22:31.351351351,Electronics,West,Consumer,5,0.02,2418.159357391365,250.0714417691997
2024-01-08 16:08:38.918918918,Electronics,South,Corporate,4,0.2,1577.6134924086414,239.88821929687685
2024-01-09 00:54:46.486486486,Furniture,East,Consumer,2,0.17,472.0378511828651,43.01117068454536
2024-01-09 09:40:54.054054054,Furniture,South,Corporate,3,0.3,616.1338655427955,107.3005008533105
2024-01-09 18:27:01.621621621,Electronics,North,Corporate,7,0.07,3299.2740072875927,531.1177037340409
2024-01-10 03:13:09.189189189,Electronics,South,Consumer,8,0.16,3355.4376331051058,564.8994235517227
2024-01-10 11:59:16.756756756,Electronics,East,Corporate,6,0.2,2433.5837418266883,165.1575464795655
2024-01-10 20:45:24.324324324,Office Supplies,East,Corporate,5,0.19,366.2467347381299,26.03357574268493
2024-01-11 05:31:31.891891891,Office Supplies,West,Home Office,1,0.17,67.65238321676063,6.289713823953186
2024-01-11 14:17:39.459459459,Office Supplies,South,Corporate,8,0.23,654.1605526338923,83.54387433559016
2024-01-11 23:03:47.027027027,Furniture,East,Corporate,3,0.06,813.7757840629496,131.99639459930964
2024-01-12 07:49:54.594594594,Office Supplies,North,Corporate,6,0.22,508.4854584363412,89.2288419445249
2024-01-12 16:36:02.162162162,Furniture,West,Home Office,3,0.19,703.8646363601945,109.55673997428627
2024-01-13 01:22:09.729729729,Furniture,North,Consumer,7,0.27,1520.1334993976632,287.74535902752217
2024-01-13 10:08:17.297297297,Office Supplies,South,Home Office,7,0.25,591.806503493957,95.16930718539658
2024-01-13 18:54:24.864864864,Furniture,South,Home Office,9,0.09,2439.567240913351,234.05252765769902
2024-01-14 03:40:32.432432432,Office Supplies,South,Consumer,5,0.08,465.8138321100254,41.81247093726093
2024-01-14 12:26:40.000000000,Office Supplies,West,Home Office,8,0.29,592.6574569008694,91.52341991139781
